name,slug,type,state,city,seats,annual_fees,closing_rank_open,nirf_rank,asmi_recommended,course,established_year,hospital_beds,photo,photo_placeholder_color,contact_phone,contact_email,website,address,affiliated_university,opd_daily,bond_years,bond_penalty,hostel_available,asmi_pulse_score,asmi_verdict,description,attached_hospital,nearby_airport,nearby_railway_station,google_location,pg_courses_availability
"Autonomous State Medical College Society, Fatehpur",autonomous-state-medical-college-society-fatehpur,Government,Uttar Pradesh,Fatehpur,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College Society, Hardoi",autonomous-state-medical-college-society-hardoi,Government,Uttar Pradesh,Hardoi,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Medical College kheri UP,autonomous-state-medical-college-kheri-up,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Gonda",autonomous-state-medical-college-gonda,Government,Uttar Pradesh,Gonda,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Kaushambi",autonomous-state-medical-college-kaushambi,Government,Uttar Pradesh,Kaushambi,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Siddharthnagar",autonomous-state-medical-college-siddharthnagar,Government,Uttar Pradesh,Siddharthnagar,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous State Medical College, Sultanpur, UP",autonomous-state-medical-college-sultanpur-up,Government,Uttar Pradesh,UP,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous State Society Medical College Mirzapur,autonomous-state-society-medical-college-mirzapur,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Autonomous state Medical College Lalitpur,autonomous-state-medical-college-lalitpur,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Autonomous state medical College, pilibhit, u.p.",autonomous-state-medical-college-pilibhit-u-p,Government,Uttar Pradesh,u.p.,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"B. J. Govt. Medical College, Pune",b-j-govt-medical-college-pune,Government,Maharashtra,Pune,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"B.J. MEDICAL COLLEGE, AHMEDABAD",b-j-medical-college-ahmedabad,Government,Gujarat,AHMEDABAD,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"BPS Government Medical College for Women, Sonepat",bps-government-medical-college-for-women-sonepat,Government,Haryana,Sonepat,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"BRD Medical College, Gorakhpur",brd-medical-college-gorakhpur,Government,Uttar Pradesh,Gorakhpur,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Baba Kinaram Autonomous State Medical College,baba-kinaram-autonomous-state-medical-college,Government,Uttar Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Bangalore Medical College and Research Institute Bangalore,bangalore-medical-college-and-research-institute-bangalore,Government,Karnataka,,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bankura Sammilani Medical College, Bankura",bankura-sammilani-medical-college-bankura,Government,West Bengal,Bankura,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Barasat Government Medical College and Hospital, Banamalipur, West Bengal",barasat-government-medical-college-and-hospital-banamalipur-west-bengal,Government,West Bengal,West Bengal,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Belagavi Institute of Medical Sciences,Belagavi, Karnataka",belagavi-institute-of-medical-sciences-belagavi-karnataka,Government,Karnataka,Karnataka,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bhagwan Mahavir Institute of Medical Sciences, Pawapuri, Nalanda",bhagwan-mahavir-institute-of-medical-sciences-pawapuri-nalanda,Government,Bihar,Nalanda,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bidar Institute of Medical Sciences,Bidar",bidar-institute-of-medical-sciences-bidar,Government,Karnataka,Bidar,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Bundelkhand Medical College, Sagar",bundelkhand-medical-college-sagar,Government,Madhya Pradesh,Sagar,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Burdwan Medical College, Burdwan",burdwan-medical-college-burdwan,Government,West Bengal,Burdwan,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
CHIKKABALLAPUR INSTITUTE OF MEDICAL SCIENCES,chikkaballapur-institute-of-medical-sciences,Government,Karnataka,,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"CHIKKAMAGALURU INSTITUTE OF MEDICAL SCIENCES, KARNATAKA",chikkamagaluru-institute-of-medical-sciences-karnataka,Government,Karnataka,KARNATAKA,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Calcutta National Medical College, Kolkata",calcutta-national-medical-college-kolkata,Government,West Bengal,Kolkata,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chamarajanagar Institute of Medical sciences, Chamarajanagar",chamarajanagar-institute-of-medical-sciences-chamarajanagar,Government,Karnataka,Chamarajanagar,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chandulal Chandrakar Memorial Medical College, Durg",chandulal-chandrakar-memorial-medical-college-durg,Government,Chattisgarh,Durg,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chengalpattu Medical College, Chengalpattu",chengalpattu-medical-college-chengalpattu,Government,Tamil Nadu,Chengalpattu,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chhattisgarh Institute of Medical Sciences, Bilaspur",chhattisgarh-institute-of-medical-sciences-bilaspur,Government,Chattisgarh,Bilaspur,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Chitradurga Medical College and Research Institute, Karnataka",chitradurga-medical-college-and-research-institute-karnataka,Government,Karnataka,Karnataka,149,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Churachandpur Medical College, Manipur",churachandpur-medical-college-manipur,Government,Manipur,Manipur,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Coimbatore Medical College, Coimbatore",coimbatore-medical-college-coimbatore,Government,Tamil Nadu,Coimbatore,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"College of Medicine and JNM Hospital,Kalyani,Nadia",college-of-medicine-and-jnm-hospital-kalyani-nadia,Government,West Bengal,Nadia,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"College of Medicine and Sagore Dutta Hospital, Kolkata",college-of-medicine-and-sagore-dutta-hospital-kolkata,Government,West Bengal,Kolkata,125,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Coochbehar Government Medical College & Hospital, Coochbehar, WB",coochbehar-government-medical-college-hospital-coochbehar-wb,Government,West Bengal,WB,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Darbhanga Medical College, Lehriasarai",darbhanga-medical-college-lehriasarai,Government,Bihar,Lehriasarai,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dhubri Medical College, Dhubri",dhubri-medical-college-dhubri,Government,Assam,Dhubri,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Diamond Harbour Government Medical College and Hospital, West Bengal",diamond-harbour-government-medical-college-and-hospital-west-bengal,Government,West Bengal,West Bengal,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Diphu Medical College,diphu-medical-college,Government,Assam,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Doon Medical College, Dehradun, Uttarakhand",doon-medical-college-dehradun-uttarakhand,Government,Uttarakhand,Uttarakhand,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Dr B R Ambedkar State Institute of Medical Sciences,dr-b-r-ambedkar-state-institute-of-medical-sciences,Government,Punjab,,99,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr SN Medical College, Jodhpur",dr-sn-medical-college-jodhpur,Government,Rajasthan,Jodhpur,250,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr Vaishampayan Memorial Medical College, Solapur",dr-vaishampayan-memorial-medical-college-solapur,Government,Maharashtra,Solapur,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",dr-baba-saheb-ambedkar-medical-college-rohini-delhi,Government,Delhi,Delhi,125,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P",dr-radhakrishnan-government-medical-college-hamirpur-h-p,Government,Himachal Pradesh,H.P,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",dr-rajendar-prasad-government-medical-college-tanda-h-p,Government,Himachal Pradesh,H.P,120,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow",dr-ram-manohar-lohia-institute-of-medical-sciences-lucknow,Government,Uttar Pradesh,Lucknow,200,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dr. Shankarrao Chavan Govt. Medical College, Nanded",dr-shankarrao-chavan-govt-medical-college-nanded,Government,Maharashtra,Nanded,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Dumka Medical College, Dighi Dumka",dumka-medical-college-dighi-dumka,Government,Jharkhand,Dighi Dumka,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC MEDICAL COLLEGE AND HOSPITAL, Andheri",esic-medical-college-and-hospital-andheri,Government,Maharashtra,Andheri,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC MEDICAL COLLEGE AND HOSPITAL, FARIDABAD",esic-medical-college-and-hospital-faridabad,Government,Haryana,FARIDABAD,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC MEDICAL COLLEGE AND HOSPITAL, Noida",esic-medical-college-and-hospital-noida,Government,Uttar Pradesh,Noida,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC MEDICAL COLLEGE NARODA BAPUNAGAR, AHMEDABAD",esic-medical-college-naroda-bapunagar-ahmedabad,Government,Gujarat,AHMEDABAD,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College & Hospital, Basaidarapur, New Delhi",esic-medical-college-hospital-basaidarapur-new-delhi,Government,Delhi,New Delhi,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College & Hospital, Jaipur (Rajasthan)",esic-medical-college-hospital-jaipur-rajasthan,Government,Rajasthan,Jaipur (Rajasthan),50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College & Hospital, K.K.Nagar, Chennai",esic-medical-college-hospital-k-k-nagar-chennai,Government,Tamil Nadu,Chennai,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
ESIC Medical College Ludhiana,esic-medical-college-ludhiana,Government,Punjab,,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Alwar, Rajasthan",esic-medical-college-and-hospital-alwar-rajasthan,Government,Rajasthan,Rajasthan,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Beltola",esic-medical-college-and-hospital-beltola,Government,Assam,Beltola,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, Indore, M.P.",esic-medical-college-and-hospital-indore-m-p,Government,Madhya Pradesh,M.P.,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"ESIC Medical College and Hospital, varanasi",esic-medical-college-and-hospital-varanasi,Government,Uttar Pradesh,varanasi,50,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad",employees-state-insurance-coporation-medical-college-sanath-nagar-hyderabad,Government,Telangana,Hyderabad,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Bangalore",employees-state-insurance-corporation-medical-college-bangalore,Government,Karnataka,Bangalore,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Bihta, Patna",employees-state-insurance-corporation-medical-college-bihta-patna,Government,Bihar,Patna,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Joka, Kolkata",employees-state-insurance-corporation-medical-college-joka-kolkata,Government,West Bengal,Kolkata,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"Employees State Insurance Corporation Medical College, Kalaburagi, Gulbarga",employees-state-insurance-corporation-medical-college-kalaburagi-gulbarga,Government,Karnataka,Gulbarga,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
Fakhruddin Ali Ahmed Medical College,fakhruddin-ali-ahmed-medical-college,Government,Assam,,125,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS MEDICAL COLLEGE, NAVSARI",gmers-medical-college-navsari,Government,Gujarat,NAVSARI,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GMERS Medical College Morbi,gmers-medical-college-morbi,Government,Gujarat,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GMERS Medical College Panchmahal Godhra,gmers-medical-college-panchmahal-godhra,Government,Gujarat,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS Medical College, Porbandar",gmers-medical-college-porbandar,Government,Gujarat,Porbandar,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GMERS Medical College, Rajpipla",gmers-medical-college-rajpipla,Government,Gujarat,Rajpipla,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERMENT MEDICAL COLLEGE, SHEOPUR",goverment-medical-college-sheopur,Government,Madhya Pradesh,SHEOPUR,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE & HOSPITAL AMRAVATI,government-medical-college-hospital-amravati,Government,Maharashtra,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE AND DISTRICT GENERAL HOSPITAL,RATNAGIRI, MAHARASHTRA",government-medical-college-and-district-general-hospital-ratnagiri-maharashtra,Government,Maharashtra,MAHARASHTRA,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL  SUNDARGARH,government-medical-college-and-hospital-sundargarh,Government,Odisha,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE DAUSA,government-medical-college-dausa,Government,Rajasthan,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE HANDWARA,government-medical-college-handwara,Government,Jammu & Kashmir,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE JHUNJHUNU,government-medical-college-jhunjhunu,Government,Rajasthan,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE KHAMMAM, TELANGANA",government-medical-college-khammam-telangana,Government,Telangana,TELANGANA,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE KONNI, PATHANAMTHITTA",government-medical-college-konni-pathanamthitta,Government,Kerala,PATHANAMTHITTA,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,government-medical-college-machilipatnam,Government,Andhra Pradesh,,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE MANCHERIAL,government-medical-college-mancherial,Government,Telangana,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE RAJAMAHENDRAVARAM ANDHRA PRADESH,government-medical-college-rajamahendravaram-andhra-pradesh,Government,Andhra Pradesh,,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE SINGRAULI,government-medical-college-singrauli,Government,Madhya Pradesh,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
GOVERNMENT MEDICAL COLLEGE SRI GANGANAGAR,government-medical-college-sri-ganganagar,Government,Rajasthan,,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE, ALWAR",government-medical-college-alwar,Government,Rajasthan,ALWAR,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE, ELURU, AP",government-medical-college-eluru-ap,Government,Andhra Pradesh,AP,150,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
"GOVERNMENT MEDICAL COLLEGE, HANUMANGARH, RAJASTHAN",government-medical-college-hanumangarh-rajasthan,Government,Rajasthan,RAJASTHAN,100,,,,False,MBBS,,,,#15803d,,,,,,,,,,,,,,,,,
